标题,作者,bvid,上传时间,视频时长,弹幕数,点赞数,播放量,收藏量,分区类型,标签,描述
【指环王全史】从零入门- 跨越万年，你必备的所有魔戒故事|精灵宝钻(1/7),青蛙刀圣1993,BV17P411j7bv,2022-08-22 11:00:00,14:23,3662,39922,1164144,26539,影视杂谈,"重返中土世界,青蛙刀圣,魔戒,指环王,力量之戒,力量之戒解说,精灵宝钻",本系列讲解托尔金小说《精灵宝钻》，共7集。
【阿斗】一次看爽《指环王》+《霍比特人》合集，带你重温不可复制的史诗经典！,阿斗归来了,BV17P411E7sa,2022-10-03 18:00:32,137:27,24300,72267,2357196,30257,影视杂谈,"指环王,霍比特人,经典,影评杂谈,电影解说,魔戒,影视,史诗经典,力量之戒","前段时间看了美剧《力量之戒》，投资成本过7亿美金，号称”史上最贵“的魔戒，看了几集，只能说一言难尽……
今天再带你们回顾一下什么才叫不可复制的史诗经典，另外，《权游》第三季结局会在十一假期结束之前更完哦！

喜欢的话多多点赞、投币、收藏吧。
更多精彩内容，关注我的微信公众号——阿斗归来了（adouGLL）"
【Prime1Studio】博罗米尔（指环王（电影））,Prime1官方,BV1nx4y1r7Qh,2024-02-29 11:00:00,1:39,3,142,3147,53,单机游戏,"指环王,魔戒",【Prime1Studio】博罗米尔（指环王（电影））
指环王系列演员今昔对比,红磡铁头,BV1ac411p7Ka,2023-04-14 21:18:30,7:37,996,4073,305855,1301,影视杂谈,"电影,对比,指环王,大片,演员,美国电影,奇幻",转自https://www.youtube.com/watch?v=FrzWBGrl5WQ&amp;t=98s
5秒看完指环王三部曲,general_nuke,BV1Rx411c7Cx,2011-08-13 00:59:03,0:34,742,24034,998234,5567,日常,"无语,指环王,AK47,5秒系列,魔戒",youtube 5秒看完指环王三部曲 每部5秒 这是合集 不要吐槽渣画质，原画质就这样
成龙：《指环王》应该我拍！老外拍的动作太无语！看了就想重拍！,985再剪武林,BV1o94y1r7T3,2023-08-09 20:03:54,1:1,100,3329,156779,191,影视剪辑,"动作,成龙",-
【4K】“梦回中土·史诗之巅”《指环王·三部曲》史诗MV,FUSION-TV,BV1Pz4y1R7SK,2020-06-18 21:08:03,13:40,3913,52709,822803,44052,影视剪辑,"混剪,FUSION-TV,魔戒,指环王,中土世界,4K,电影,影视剪辑,指环王三部曲,史诗",指环王电影三部曲共获国际奖项351项，提名284项，包括17项奥斯卡金像奖。其中《指环王：国王归来》以获11项金像奖的成绩与《宾虚》及《泰坦尼克号》并列成为了奥斯卡影史上获奖最多的影片。三部宏大的电影，在恢弘的场面和复杂的关系外，情感元素也是电影非常吸引观众的因素，关于友情、爱情、亲情。弗罗多和山姆的友情，阿拉贡与阿尔文的爱情，比尔博、刚铎的亲情等，最后山姆那句“我不能替你背负重担，但我可以背着你”让无数的观众潜然泪下。故事内核是对于善良美好的追求，人性的救赎与回归。最终本片成就世纪经典！！
《指环王1星球大战》阿拉贡捡了凯洛伦的光剑..,研究原力,BV1BZ4y1J7La,2024-01-26 17:00:00,2:12,641,13170,197266,1928,影视剪辑,"搞笑,星球大战,科幻,星战,指环王,光剑,经典电影,阿拉贡,精灵王子,凯洛伦",视频中所有光剑都是捡到的，与设定无关。
70余年经久不衰，《指环王》到底有什么可神的？【迷影至下Pro30】,迷影至下Filmlast,BV1NQ4y1o7iy,2021-05-14 18:03:13,14:22,1114,9764,227778,3439,影视杂谈,"指环王中土招募启事,指环王,魔戒,霍比特人,甘道夫,托尔金,彼得杰克逊,奥兰多布鲁姆,精灵宝钻,指环王三部曲",改编自出版60多年前的“老小说”，上映已经快20年的“老电影”，《指环王》或者说《魔戒》，到底有什么神的？
《指环王》大小比较,无限排行,BV1V5411c7c1,2021-04-15 20:50:27,1:8,247,4845,238206,1379,影视杂谈,"电影,指环王,魔戒,中土世界",数据来自网络。
指环王花絮：精灵公主居然这么逗,囗KIRA囗,BV1fh4y187re,2023-09-25 00:06:30,2:15,70,1257,58688,200,预告·资讯,"指环王,精灵公主,指环王花絮,雅雯,魔戒花絮,必剪创作,最强安利王,人人都能聊影视",-
YouTube最好的指环王剪辑,Serendipity_126,BV1jm4y1F7dG,2022-11-08 20:10:20,8:37,556,6880,137028,7087,影视剪辑,"指环王,电影剪辑,影视剪辑",https://youtu.be/qtRIPb0ufgU
扮成指环王里不同的角色叫老公起床,神奇动物小只猪,BV1Su411D7se,2022-02-27 22:04:20,1:59,233,7866,107063,1796,日常,"指环王,幽默,搞笑,lotr,魔戒,歪果仁",@神奇动物小只猪
【超燃/指环王3史诗战争混剪】希优顿王的骑士们，冲锋！,午夜情海,BV1wx411e71v,2017-05-28 19:32:23,5:15,4049,18289,1625099,18089,影视剪辑,"Victory,指环王,指环王剪辑,骑兵冲锋,史诗战争,洛汗骑兵,超燃剪辑,希优顿,米纳斯提里斯,魔戒",指环王里我最喜欢的国王就是希优顿王了，他是一位父亲，是伊欧文的舅舅，是千万洛汗人民的王。他的光彩不输于任何人，在中土的历史卷轴中他是洛汗最伟大的国王。当刚铎王城米拉斯提拉斯的烽火燃烧至洛汗国王希尤顿的瞳孔中，摆在希尤顿面前的，是一个抉择，当艾辛格的恶狼侵蚀洛汗的草原时，刚铎未发一兵一卒相救，如今，牧马王做出了选择：即使本国大战刚过，元气大伤，也要集结所有的军队，带领洛汗远征。挥师勤王，保卫王都。于是就出现了帕兰诺平原上的誓师，我把它加入了剪辑中，配上了中英字幕，希望大家一起感受这份震撼。
【电影原声】指环王，洛汗骑兵支援刚铎，电影史上最燃画面之一!,Coconut2333,BV1Ss411V7pp,2018-06-28 15:26:24,10:56,7933,16828,1577839,11896,影视剪辑,"魔戒,指环王,史诗,魔幻,热血,燃向","http://youtu.be/bQzbsOCZ8UA
【油管搬运】冲锋，为了中土！(ﾉಥ益ಥ)"
4K ᵁᴴᴰ『指环王』夏尔?2小时电影原声带放松音乐 (适合2160p平板电视),Trance_Chai,BV1pK411u7y6,2021-01-12 20:57:46,124:47,765,11995,292963,22270,音乐综合,"4K,放松音乐,自然风光,影视音乐,原声带,背景音乐,指环王,夏尔,The Shire,电影音乐","https://bit.ly/3bufb0Y
LordofTheRings #Shire
Lord of The Rings | The Shire - Music from the Soundtrack

•2020年9月5日"
【指环王】百万级录音棚听《May It Be》电影《指环王》原声【Hi-Res】,JLRS-jayfm,BV11X4y1q79E,2023-06-30 10:30:00,4:16,219,5550,157681,4734,音乐综合,"OST,主题曲,指环王,护戒使者,影视原声,录音棚,魔戒再现,音乐分享官,音乐玩家招募令2.0","《May It Be》电影《指环王》原声
作词 : Enya/Roma Ryan
作曲 : Enya/Roma Ryan

音响：真力1234
录音MIC：纽曼149 2支
录音设备：SSL Duality Delta Pro Station + Protools
侵删"
「姜文」聊喜欢的电影《指环王》,比鲁斯吃汉堡,BV1aK4y1c7tk,2023-09-16 23:24:32,1:29,29,475,44286,261,影视杂谈,"指环王,姜文,让子弹飞,鬼子来了,导演,周韵,北京人在纽约,邪不压正,必剪创作,最强安利王,寻找影视最强安利王",
指环王梗memes：你永远可以用指环王三部曲治愈难过～,神奇动物小只猪,BV1eQ4y1y7ov,2021-09-09 22:25:20,2:0,271,9079,139210,3177,搞笑,"指环王,MEME,搞笑,吐槽,幽默,魔戒,我的世界",wb@神奇动物小只猪
电影最TOP 123: 难以超越的奇幻史诗巨制《指环王》三部曲,电影最TOP,BV1db411T7He,2019-04-10 20:30:13,77:12,56404,163494,3708076,72958,影视杂谈,"魔戒,指环王,史诗,彼得杰克逊,托尔金",本期咱来聊聊彼得•杰克逊执导的魔幻史诗巨著《指环王》三部曲。
指环王花絮：精灵公主居然这么逗,囗KIRA囗,BV1fh4y187re,2023-09-25 00:06:30,2:15,70,1257,58688,200,预告·资讯,"指环王,精灵公主,指环王花絮,雅雯,魔戒花絮,必剪创作,最强安利王,人人都能聊影视",-
指环王主题曲：《 May It Be》 • Enya代表作原声剪辑珍藏纪念版,26DuMusic,BV1VW411E7tE,2018-02-11 10:58:26,3:34,343,7096,402008,11596,音乐综合,"音乐选集,OST,古典音乐,欧美音乐,单曲,高音质,欧美","歌手：Enya-
歌曲：May It Be
电影《指环王（魔戒）》主题曲"
The Shire（夏尔）指环王系列经典音乐 霍比特人的村庄宁静祥和，一起感受这首音乐的魅力！,罗罗亚c罗,BV1gM4y117zU,2023-04-06 20:57:12,20:44,154,3116,88740,3349,音乐综合,"音乐玩家招募令,音乐研究所,纯音乐,经典,霍比特人,指环王,经典音乐,宁静",The Shire指环王系列经典音乐 霍比特人的村庄宁静祥和，一起感受这首音乐的魅力！
《指环王》音乐分析（一）：电影史上复杂性最高的配乐... 之一,wizarque,BV1Xq4y1375S,2021-11-14 21:45:21,19:28,421,3710,77986,5809,乐评盘点,"乐评盘点,影视音乐,指环王,霍华德肖,音乐,ost,西班牙语,Jaime Altozano,魔戒,护戒使者","https://www.youtube.com/watch?v=y5LLHZf9ebU&amp;t=1s
2017年，Jaime Altozano在Youtube发布此系列视频后火遍西班牙语地区，用干货说话的特点也让人们视他为音乐教育界的希望。"
【超燃/指环王3史诗战争混剪】希优顿王的骑士们，冲锋！,午夜情海,BV1wx411e71v,2017-05-28 19:32:23,5:15,4049,18289,1625099,18089,影视剪辑,"Victory,指环王,指环王剪辑,骑兵冲锋,史诗战争,洛汗骑兵,超燃剪辑,希优顿,米纳斯提里斯,魔戒",指环王里我最喜欢的国王就是希优顿王了，他是一位父亲，是伊欧文的舅舅，是千万洛汗人民的王。他的光彩不输于任何人，在中土的历史卷轴中他是洛汗最伟大的国王。当刚铎王城米拉斯提拉斯的烽火燃烧至洛汗国王希尤顿的瞳孔中，摆在希尤顿面前的，是一个抉择，当艾辛格的恶狼侵蚀洛汗的草原时，刚铎未发一兵一卒相救，如今，牧马王做出了选择：即使本国大战刚过，元气大伤，也要集结所有的军队，带领洛汗远征。挥师勤王，保卫王都。于是就出现了帕兰诺平原上的誓师，我把它加入了剪辑中，配上了中英字幕，希望大家一起感受这份震撼。
【电影原声】指环王，洛汗骑兵支援刚铎，电影史上最燃画面之一!,Coconut2333,BV1Ss411V7pp,2018-06-28 15:26:24,10:56,7933,16828,1577839,11896,影视剪辑,"魔戒,指环王,史诗,魔幻,热血,燃向","http://youtu.be/bQzbsOCZ8UA
【油管搬运】冲锋，为了中土！(ﾉಥ益ಥ)"
如果【指环王】是中东画风的,黑猫不怕黑,BV1wj411K7G2,2023-02-16 22:47:29,3:10,702,5008,199837,2403,影视剪辑,"指环王,电影,画风,中东",https://m.youtube.com/watch?v=3jL3-2fVDl4
《指环王》剧版被外国网友疯狂吐槽！！黑精灵？,遮天王腾大帝,BV1La411C7q8,2022-02-18 09:51:24,0:50,134,2001,197799,209,预告·资讯,"必剪创作,魔戒,美剧,指环王,好莱坞,打卡挑战",-
如果【指环王】是昆汀·塔伦蒂诺的处女作,苍大剪,BV1Ek4y1a79N,2023-04-17 15:26:42,3:6,210,2582,99401,952,影视剪辑,"电影,指环王,经典电影,处女作,昆汀·塔伦蒂诺,魔戒,甘道夫,电影剪辑,欧美电影,影视剪辑","YouTube
The Lord of the Rings as a Quentin Tarantino Film"
电影最TOP 123: 难以超越的奇幻史诗巨制《指环王》三部曲,电影最TOP,BV1db411T7He,2019-04-10 20:30:13,77:12,56404,163494,3708076,72958,影视杂谈,"魔戒,指环王,史诗,彼得杰克逊,托尔金",本期咱来聊聊彼得•杰克逊执导的魔幻史诗巨著《指环王》三部曲。
指  环  王  删  减  片  段,狂花顷刻香,BV1uf4y157bN,2021-07-21 22:01:21,1:11,437,6344,170099,3936,搞笑,"魔戒,指环王,搞笑,魔性","https://www.youtube.com/watch?v=n87lQWRe8-s&amp;ab_channel=Gertilish
Lotr Voice Over - Aragorn, Son of Arathorn...
莱格拉斯 恶 魔 低 语
叶子，别念了"
清唱《指环王》插曲 “Edge of Night”，歌声空灵唯美,YouTube精彩视频-,BV1fp4y1t7qs,2021-04-19 23:56:53,0:56,157,14458,175350,10991,翻唱,"指环王,女声,魔戒,清唱,治愈向,女声翻唱,开口脆",（TT:malindamusic）
当疯狂魔戒粉买回一本《指环王》她会做什么？手工,流行经典的秘密,BV12M4y1g767,2021-09-17 19:27:57,3:55,217,13422,178164,2453,手工,"指环王,魔戒,手工,自制,DIY,手工制作,中土世界",youtube
【中字】《指环王》佛拉多/山姆重聚！,美剧头条菌,BV1Pu4m1w76w,2024-02-25 13:49:21,1:12,35,527,45116,131,预告·资讯,"电影,指环王","https://weibo.com/u/2133802525
伊莱贾-伍德和肖恩-奥斯汀重聚演员工会颁奖礼，颁发最佳电影女配角奖，两人还唠起了肖恩没给伊莱贾带奖杯的往事。"
［新人必看］指环王名场面名梗大盘点,来自刚铎的鹅,BV1EK411s7Re,2020-05-23 01:37:54,2:5,273,4430,162833,2240,影视杂谈,"指环王,中土,电影,名场面,盘点,名场景",-
油管搬运 两分钟看完指环王,warriors刘,BV1JR4y1S7HE,2023-01-02 13:43:48,2:47,78,1542,26229,819,日常,"指环王,油管搬运,动画,搞笑",
【中土】用西游记的方式打开指环王,海盐冰淇淋儿,BV1Hf4y1278y,2020-05-24 22:52:27,5:46,2066,30285,539575,15158,影视剪辑,"bilibili新星计划,中土,魔戒,指环王,莱戈拉斯,甘道夫,阿拉贡","恶搞向
staff名逐渐乱编！

*应邀（？）更新了对比版"
京韵大鼓《指环王》,孙霆同学,BV1SV411j7qt,2021-05-28 21:58:48,2:4,497,8583,192523,2457,音乐综合,"京韵大鼓,曲艺,指环王",和平女士亲授，人类非物质非文化遗产京韵大鼓失传曲目《指环王》之精灵王子开脸儿~
指环王2 甘道夫史诗级救场 激动人心,南宁科迅装机吧,BV144411w7RB,2019-07-03 15:44:19,1:26,355,2829,349378,716,小剧场,"指环王,魔戒,电影,甘道夫,战争,经典",-
《指环王》LOGO竟是实拍！,MICU设计,BV1bq4y1C7gU,2022-01-25 21:10:29,0:39,26,9226,350333,1912,设计·创意,"创意,艺术,设计",《指环王：力量之戒》预告片中的Logo竟然是实拍，而不是CG特效，太赞了 via Amazon - The Lord of the Rings: The Rings of Power Season 1 #指环王 #创意 #摄影 #设计
